[ 2016-01-05T21:01:15+08:00 ] /?m=Index&a=verify | SQL: SELECT * FROM `gt_project_server` WHERE  `recommend` = 1  LIMIT 5  [ RunTime:0.000192s ]
[ 2016-01-05T21:01:19+08:00 ] /?m=Article&a=index&pid=1 | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003337s ]
[ 2016-01-05T21:01:19+08:00 ] /?m=Article&a=index&pid=1 | SQL: SELECT * FROM `gt_project_agent` [ RunTime:0.000190s ]
[ 2016-01-05T21:01:19+08:00 ] /?m=Article&a=index&pid=1 | NOTIC: [8] Undefined index: pitch CommonAction.class.php 第 39 行.
[ 2016-01-05T21:01:19+08:00 ] /?m=Article&a=index&pid=1 | SQL: SHOW COLUMNS FROM `gt_project_server` [ RunTime:0.003218s ]
[ 2016-01-05T21:01:19+08:00 ] /?m=Article&a=index&pid=1 | SQL: SELECT * FROM `gt_project_server` WHERE  `recommend` = 1  LIMIT 5  [ RunTime:0.000167s ]
[ 2016-01-05T21:01:19+08:00 ] /?m=Article&a=index&pid=1 | SQL: SHOW COLUMNS FROM `gt_project_category` [ RunTime:0.003163s ]
[ 2016-01-05T21:01:19+08:00 ] /?m=Article&a=index&pid=1 | SQL: SELECT `id`,`pid`,`cateName` FROM `gt_project_category` WHERE ( `id` = 1 ) LIMIT 1  [ RunTime:0.000262s ]
[ 2016-01-05T21:01:19+08:00 ] /?m=Article&a=index&pid=1 | SQL: SELECT * FROM `gt_project_category` WHERE ( `pid` = '1' ) [ RunTime:0.000269s ]
[ 2016-01-05T21:01:19+08:00 ] /?m=Article&a=index&pid=1 | SQL: SHOW COLUMNS FROM `gt_project_article` [ RunTime:0.003650s ]
[ 2016-01-05T21:01:19+08:00 ] /?m=Article&a=index&pid=1 | SQL: SELECT COUNT(*) AS tp_count FROM `gt_project_article` WHERE cateId IN (4,5,6) LIMIT 1  [ RunTime:0.057160s ]
[ 2016-01-05T21:01:19+08:00 ] /?m=Article&a=index&pid=1 | SQL: SELECT `id`,`cateId`,`title`,`createTime` FROM `gt_project_article` WHERE cateId IN (4,5,6) ORDER BY sort DESC LIMIT 0,25  [ RunTime:0.000330s ]
[ 2016-01-05T21:01:19+08:00 ] /?m=Article&a=index&pid=1 | NOTIC: [8] Undefined index: gt_uname 6b9abf15750aa96328ffe542d2c95880.php 第 38 行.
[ 2016-01-05T21:01:19+08:00 ] /?m=Article&a=index&pid=1 | NOTIC: [8] Undefined index: pitch 6b9abf15750aa96328ffe542d2c95880.php 第 43 行.
[ 2016-01-05T21:01:19+08:00 ] /?m=Article&a=index&pid=1 | NOTIC: [8] Undefined index: gt_uname 6b9abf15750aa96328ffe542d2c95880.php 第 96 行.
[ 2016-01-05T21:01:19+08:00 ] /?m=Index&a=verify | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003861s ]
[ 2016-01-05T21:01:19+08:00 ] /?m=Index&a=verify | SQL: SELECT * FROM `gt_project_agent` [ RunTime:0.000179s ]
[ 2016-01-05T21:01:19+08:00 ] /?m=Index&a=verify | NOTIC: [8] Undefined index: pitch CommonAction.class.php 第 39 行.
[ 2016-01-05T21:01:19+08:00 ] /?m=Index&a=verify | SQL: SHOW COLUMNS FROM `gt_project_server` [ RunTime:0.004003s ]
[ 2016-01-05T21:01:19+08:00 ] /?m=Index&a=verify | SQL: SELECT * FROM `gt_project_server` WHERE  `recommend` = 1  LIMIT 5  [ RunTime:0.000172s ]
[ 2016-01-05T21:01:21+08:00 ] /?m=Article&a=index&pid=6 | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003442s ]
[ 2016-01-05T21:01:21+08:00 ] /?m=Article&a=index&pid=6 | SQL: SELECT * FROM `gt_project_agent` [ RunTime:0.000208s ]
[ 2016-01-05T21:01:21+08:00 ] /?m=Article&a=index&pid=6 | NOTIC: [8] Undefined index: pitch CommonAction.class.php 第 39 行.
[ 2016-01-05T21:01:21+08:00 ] /?m=Article&a=index&pid=6 | SQL: SHOW COLUMNS FROM `gt_project_server` [ RunTime:0.002934s ]
[ 2016-01-05T21:01:21+08:00 ] /?m=Article&a=index&pid=6 | SQL: SELECT * FROM `gt_project_server` WHERE  `recommend` = 1  LIMIT 5  [ RunTime:0.000153s ]
[ 2016-01-05T21:01:21+08:00 ] /?m=Article&a=index&pid=6 | SQL: SHOW COLUMNS FROM `gt_project_category` [ RunTime:0.002836s ]
[ 2016-01-05T21:01:21+08:00 ] /?m=Article&a=index&pid=6 | SQL: SELECT `id`,`pid`,`cateName` FROM `gt_project_category` WHERE ( `id` = 6 ) LIMIT 1  [ RunTime:0.000262s ]
[ 2016-01-05T21:01:21+08:00 ] /?m=Article&a=index&pid=6 | SQL: SELECT * FROM `gt_project_category` WHERE ( `pid` = '1' ) [ RunTime:0.000148s ]
[ 2016-01-05T21:01:21+08:00 ] /?m=Article&a=index&pid=6 | SQL: SHOW COLUMNS FROM `gt_project_article` [ RunTime:0.002936s ]
[ 2016-01-05T21:01:21+08:00 ] /?m=Article&a=index&pid=6 | SQL: SELECT COUNT(*) AS tp_count FROM `gt_project_article` WHERE ( `cateId` = '6' ) LIMIT 1  [ RunTime:0.000245s ]
[ 2016-01-05T21:01:21+08:00 ] /?m=Article&a=index&pid=6 | SQL: SELECT `id`,`cateId`,`title`,`createTime` FROM `gt_project_article` WHERE ( `cateId` = '6' ) ORDER BY sort DESC LIMIT 0,25  [ RunTime:0.000201s ]
[ 2016-01-05T21:01:21+08:00 ] /?m=Article&a=index&pid=6 | SQL: SELECT `id`,`cateName` FROM `gt_project_category` WHERE ( `id` = '1' ) LIMIT 1  [ RunTime:0.000176s ]
[ 2016-01-05T21:01:21+08:00 ] /?m=Article&a=index&pid=6 | NOTIC: [8] Undefined index: gt_uname 6b9abf15750aa96328ffe542d2c95880.php 第 38 行.
[ 2016-01-05T21:01:21+08:00 ] /?m=Article&a=index&pid=6 | NOTIC: [8] Undefined index: pitch 6b9abf15750aa96328ffe542d2c95880.php 第 43 行.
[ 2016-01-05T21:01:21+08:00 ] /?m=Article&a=index&pid=6 | NOTIC: [8] Undefined index: gt_uname 6b9abf15750aa96328ffe542d2c95880.php 第 96 行.
