[ 2015-12-31T20:11:03+08:00 ] /admin.php | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2015-12-31T20:11:09+08:00 ] /admin.php?m=Index&a=index | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2015-12-31T20:11:11+08:00 ] /admin.php?m=Users&a=index | SQL: SHOW COLUMNS FROM `gt_project_users` [ RunTime:0.036139s ]
[ 2015-12-31T20:11:11+08:00 ] /admin.php?m=Users&a=index | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.006664s ]
[ 2015-12-31T20:11:11+08:00 ] /admin.php?m=Users&a=index | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000417s ]
[ 2015-12-31T20:11:11+08:00 ] /admin.php?m=Users&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 125 行.
[ 2015-12-31T20:11:11+08:00 ] /admin.php?m=Users&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 137 行.
[ 2015-12-31T20:11:11+08:00 ] /admin.php?m=Users&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 175 行.
[ 2015-12-31T20:11:11+08:00 ] /admin.php?m=Users&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 125 行.
[ 2015-12-31T20:11:11+08:00 ] /admin.php?m=Users&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 137 行.
[ 2015-12-31T20:11:11+08:00 ] /admin.php?m=Users&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 175 行.
[ 2015-12-31T20:11:11+08:00 ] /admin.php?m=Users&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 125 行.
[ 2015-12-31T20:11:11+08:00 ] /admin.php?m=Users&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 137 行.
[ 2015-12-31T20:11:11+08:00 ] /admin.php?m=Users&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 175 行.
[ 2015-12-31T20:11:11+08:00 ] /admin.php?m=Users&a=index | NOTIC: [8] Undefined variable: title 44bdf9bb1cd026e60b48bef2cc33a22a.php 第 201 行.
[ 2015-12-31T20:11:11+08:00 ] /admin.php?m=Users&a=index | NOTIC: [8] Undefined variable: title 44bdf9bb1cd026e60b48bef2cc33a22a.php 第 222 行.
[ 2015-12-31T20:11:11+08:00 ] /admin.php?m=Users&a=index | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2015-12-31T20:11:22+08:00 ] /admin.php?m=Server&a=index | SQL: SHOW COLUMNS FROM `gt_project_server` [ RunTime:0.004121s ]
[ 2015-12-31T20:11:22+08:00 ] /admin.php?m=Server&a=index | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003866s ]
[ 2015-12-31T20:11:22+08:00 ] /admin.php?m=Server&a=index | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000140s ]
[ 2015-12-31T20:11:22+08:00 ] /admin.php?m=Server&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 125 行.
[ 2015-12-31T20:11:22+08:00 ] /admin.php?m=Server&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 137 行.
[ 2015-12-31T20:11:22+08:00 ] /admin.php?m=Server&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 175 行.
[ 2015-12-31T20:11:22+08:00 ] /admin.php?m=Server&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 125 行.
[ 2015-12-31T20:11:22+08:00 ] /admin.php?m=Server&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 137 行.
[ 2015-12-31T20:11:22+08:00 ] /admin.php?m=Server&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 175 行.
[ 2015-12-31T20:11:22+08:00 ] /admin.php?m=Server&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 125 行.
[ 2015-12-31T20:11:22+08:00 ] /admin.php?m=Server&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 137 行.
[ 2015-12-31T20:11:22+08:00 ] /admin.php?m=Server&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 175 行.
[ 2015-12-31T20:11:22+08:00 ] /admin.php?m=Server&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 125 行.
[ 2015-12-31T20:11:22+08:00 ] /admin.php?m=Server&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 137 行.
