[ 2015-12-27T18:58:55+08:00 ] /admin.php | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2015-12-27T18:59:19+08:00 ] /admin.php | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2015-12-27T18:59:24+08:00 ] /admin.php?m=Index&a=index | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2015-12-27T18:59:27+08:00 ] /admin.php?m=Users&a=index | SQL: SHOW COLUMNS FROM `gt_project_users` [ RunTime:0.003603s ]
[ 2015-12-27T18:59:27+08:00 ] /admin.php?m=Users&a=index | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003349s ]
[ 2015-12-27T18:59:27+08:00 ] /admin.php?m=Users&a=index | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000128s ]
[ 2015-12-27T18:59:27+08:00 ] /admin.php?m=Users&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 125 行.
[ 2015-12-27T18:59:27+08:00 ] /admin.php?m=Users&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 137 行.
[ 2015-12-27T18:59:27+08:00 ] /admin.php?m=Users&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 175 行.
[ 2015-12-27T18:59:27+08:00 ] /admin.php?m=Users&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 125 行.
[ 2015-12-27T18:59:27+08:00 ] /admin.php?m=Users&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 137 行.
[ 2015-12-27T18:59:27+08:00 ] /admin.php?m=Users&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 175 行.
[ 2015-12-27T18:59:27+08:00 ] /admin.php?m=Users&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 125 行.
[ 2015-12-27T18:59:27+08:00 ] /admin.php?m=Users&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 137 行.
[ 2015-12-27T18:59:27+08:00 ] /admin.php?m=Users&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 175 行.
