[ 2016-01-29T22:20:40+08:00 ] /admin.php | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-01-29T22:20:51+08:00 ] /admin.php?m=Index&a=index | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-01-29T22:20:54+08:00 ] /admin.php?m=Order&a=index | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.003253s ]
[ 2016-01-29T22:20:54+08:00 ] /admin.php?m=Order&a=index | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.007203s ]
[ 2016-01-29T22:20:54+08:00 ] /admin.php?m=Order&a=index | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000667s ]
[ 2016-01-29T22:20:55+08:00 ] /admin.php?m=Order&a=index | NOTIC: [8] Undefined variable: title 44bdf9bb1cd026e60b48bef2cc33a22a.php 第 223 行.
[ 2016-01-29T22:20:55+08:00 ] /admin.php?m=Order&a=index | NOTIC: [8] Undefined variable: title 44bdf9bb1cd026e60b48bef2cc33a22a.php 第 244 行.
[ 2016-01-29T22:20:55+08:00 ] /admin.php?m=Order&a=index | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-01-29T22:20:57+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003582s ]
[ 2016-01-29T22:20:57+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000191s ]
[ 2016-01-29T22:20:58+08:00 ] /admin.php?m=Order&a=count | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-01-29T22:21:03+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.003074s ]
[ 2016-01-29T22:21:03+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT COUNT(*) AS tp_count FROM `gt_project_order` WHERE `game_id` = 64 AND `createtime` >= 1453996800 LIMIT 1  [ RunTime:0.000420s ]
[ 2016-01-29T22:21:03+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT SUM(`money`) AS `money` FROM `gt_project_order` WHERE `game_id` = 64 AND `createtime` >= 1453996800 LIMIT 1  [ RunTime:0.000378s ]
[ 2016-01-29T22:21:03+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT SUM(`amount`) AS `money` FROM `gt_project_order` WHERE `game_id` = 64 AND `createtime` >= 1453996800 LIMIT 1  [ RunTime:0.000375s ]
[ 2016-01-29T22:21:03+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003268s ]
[ 2016-01-29T22:21:03+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000208s ]
