[ 2016-01-30T00:19:57+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.002632s ]
[ 2016-01-30T00:19:57+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT COUNT(*) AS `count`,SUM(`money`) AS `money`,SUM(`amount`) AS `gold` FROM `gt_project_order` WHERE `createtime` >= 1454083200 AND `status` >= 1 LIMIT 1  [ RunTime:0.000363s ]
[ 2016-01-30T00:19:57+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.002640s ]
[ 2016-01-30T00:19:57+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000139s ]
[ 2016-01-30T00:19:57+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.003607s ]
[ 2016-01-30T00:19:57+08:00 ] /admin.php?m=Order&a=count | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-01-30T00:23:24+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.002773s ]
[ 2016-01-30T00:23:24+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT COUNT(*) AS `count`,SUM(`money`) AS `money`,SUM(`amount`) AS `gold` FROM `gt_project_order` WHERE `createtime` >= 1454083200 AND `status` >= 1 LIMIT 1  [ RunTime:0.000121s ]
[ 2016-01-30T00:23:24+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003041s ]
[ 2016-01-30T00:23:24+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000162s ]
[ 2016-01-30T00:23:24+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.002534s ]
[ 2016-01-30T00:23:24+08:00 ] /admin.php?m=Order&a=count | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-01-30T00:25:05+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.002786s ]
[ 2016-01-30T00:25:05+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT COUNT(*) AS `count`,SUM(`money`) AS `money`,SUM(`amount`) AS `gold` FROM `gt_project_order` WHERE `createtime` >= 1454083200 AND `status` >= 1 LIMIT 1  [ RunTime:0.000127s ]
[ 2016-01-30T00:25:05+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003029s ]
[ 2016-01-30T00:25:05+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000166s ]
[ 2016-01-30T00:25:05+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.002822s ]
[ 2016-01-30T00:25:05+08:00 ] /admin.php?m=Order&a=count | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-01-30T00:26:32+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.003339s ]
[ 2016-01-30T00:26:32+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT COUNT(*) AS `count`,SUM(`money`) AS `money`,SUM(`amount`) AS `gold` FROM `gt_project_order` WHERE `createtime` >= 1454083200 AND `status` >= 1 LIMIT 1  [ RunTime:0.000128s ]
[ 2016-01-30T00:26:32+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.004145s ]
[ 2016-01-30T00:26:32+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000176s ]
[ 2016-01-30T00:26:32+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.002507s ]
[ 2016-01-30T00:26:32+08:00 ] /admin.php?m=Order&a=count | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-01-30T00:26:50+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.003127s ]
[ 2016-01-30T00:26:50+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT COUNT(*) AS `count`,SUM(`money`) AS `money`,SUM(`amount`) AS `gold` FROM `gt_project_order` WHERE `createtime` >= 1454083200 AND `status` >= 1 LIMIT 1  [ RunTime:0.000368s ]
[ 2016-01-30T00:26:50+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.002969s ]
[ 2016-01-30T00:26:50+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000135s ]
[ 2016-01-30T00:26:50+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.002405s ]
[ 2016-01-30T00:26:50+08:00 ] /admin.php?m=Order&a=count | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
