[ 2016-01-06T22:42:19+08:00 ] /admin.php | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-01-06T22:42:24+08:00 ] /admin.php?m=Index&a=index | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-01-06T22:42:28+08:00 ] /admin.php?m=Category&a=index | SQL: SHOW COLUMNS FROM `gt_project_category` [ RunTime:0.065501s ]
[ 2016-01-06T22:42:28+08:00 ] /admin.php?m=Category&a=index | SQL: SELECT * FROM `gt_project_category` WHERE ( `pid` = 0 ) [ RunTime:0.014941s ]
[ 2016-01-06T22:42:28+08:00 ] /admin.php?m=Category&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 126 行.
[ 2016-01-06T22:42:28+08:00 ] /admin.php?m=Category&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 138 行.
[ 2016-01-06T22:42:28+08:00 ] /admin.php?m=Category&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 179 行.
[ 2016-01-06T22:42:28+08:00 ] /admin.php?m=Category&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 126 行.
[ 2016-01-06T22:42:28+08:00 ] /admin.php?m=Category&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 138 行.
[ 2016-01-06T22:42:28+08:00 ] /admin.php?m=Category&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 179 行.
[ 2016-01-06T22:42:28+08:00 ] /admin.php?m=Category&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 126 行.
[ 2016-01-06T22:42:28+08:00 ] /admin.php?m=Category&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 138 行.
[ 2016-01-06T22:42:28+08:00 ] /admin.php?m=Category&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 179 行.
[ 2016-01-06T22:42:28+08:00 ] /admin.php?m=Category&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 126 行.
[ 2016-01-06T22:42:28+08:00 ] /admin.php?m=Category&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 138 行.
[ 2016-01-06T22:42:28+08:00 ] /admin.php?m=Category&a=index | NOTIC: [8] Undefined index: type CommAction.class.php 第 179 行.
[ 2016-01-06T22:42:28+08:00 ] /admin.php?m=Category&a=index | NOTIC: [8] Undefined variable: title 44bdf9bb1cd026e60b48bef2cc33a22a.php 第 208 行.
[ 2016-01-06T22:42:28+08:00 ] /admin.php?m=Category&a=index | NOTIC: [8] Undefined variable: title 44bdf9bb1cd026e60b48bef2cc33a22a.php 第 229 行.
[ 2016-01-06T22:42:28+08:00 ] /admin.php?m=Category&a=index | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
